profileID;respID;qID;altID;obsID;price;origin_Brazil Central Plateau;origin_Colombia Cauca;processing_Natural;processing_Washed;Specialty_Coffee_SCA Score: 80;Specialty_Coffee_SCA Score: 90;no_choice
0;7;2;4;98;0;0;0;0;0;0;0;1
13;7;3;1;99;11;1;0;0;1;0;1;0
10;7;3;2;99;30;1;0;1;0;0;1;0
7;7;3;3;99;11;0;1;0;1;1;0;0
0;7;3;4;99;0;0;0;0;0;0;0;1
8;7;4;1;100;30;0;1;0;1;1;0;0
4;7;4;2;100;30;0;1;1;0;1;0;0
10;7;4;3;100;30;1;0;1;0;0;1;0
0;7;4;4;100;0;0;0;0;0;0;0;1
11;7;5;1;101;11;0;1;1;0;0;1;0
12;7;5;2;101;30;0;1;1;0;0;1;0
5;7;5;3;101;11;1;0;0;1;1;0;0
0;7;5;4;101;0;0;0;0;0;0;0;1
7;7;6;1;102;11;0;1;0;1;1;0;0
16;7;6;2;102;30;0;1;0;1;0;1;0
8;7;6;3;102;30;0;1;0;1;1;0;0
0;7;6;4;102;0;0;0;0;0;0;0;1
4;7;7;1;103;30;0;1;1;0;1;0;0
3;7;7;2;103;11;0;1;1;0;1;0;0
14;7;7;3;103;30;1;0;0;1;0;1;0
0;7;7;4;103;0;0;0;0;0;0;0;1
16;7;8;1;104;30;0;1;0;1;0;1;0
2;7;8;2;104;30;1;0;1;0;1;0;0
9;7;8;3;104;11;1;0;1;0;0;1;0
0;7;8;4;104;0;0;0;0;0;0;0;1
6;7;9;1;105;30;1;0;0;1;1;0;0
7;7;9;2;105;11;0;1;0;1;1;0;0
2;7;9;3;105;30;1;0;1;0;1;0;0
0;7;9;4;105;0;0;0;0;0;0;0;1
9;7;10;1;106;11;1;0;1;0;0;1;0
6;7;10;2;106;30;1;0;0;1;1;0;0
12;7;10;3;106;30;0;1;1;0;0;1;0
0;7;10;4;106;0;0;0;0;0;0;0;1
10;7;11;1;107;30;1;0;1;0;0;1;0
14;7;11;2;107;30;1;0;0;1;0;1;0
6;7;11;3;107;30;1;0;0;1;1;0;0
0;7;11;4;107;0;0;0;0;0;0;0;1
15;7;12;1;108;11;0;1;0;1;0;1;0
5;7;12;2;108;11;1;0;0;1;1;0;0
11;7;12;3;108;11;0;1;1;0;0;1;0
0;7;12;4;108;0;0;0;0;0;0;0;1
14;7;13;1;109;30;1;0;0;1;0;1;0
13;7;13;2;109;11;1;0;0;1;0;1;0
3;7;13;3;109;11;0;1;1;0;1;0;0
0;7;13;4;109;0;0;0;0;0;0;0;1
3;7;14;1;110;11;0;1;1;0;1;0;0
8;7;14;2;110;30;0;1;0;1;1;0;0
1;7;14;3;110;11;1;0;1;0;1;0;0
0;7;14;4;110;0;0;0;0;0;0;0;1
1;7;15;1;111;11;1;0;1;0;1;0;0
15;7;15;2;111;11;0;1;0;1;0;1;0
4;7;15;3;111;30;0;1;1;0;1;0;0
0;7;15;4;111;0;0;0;0;0;0;0;1
5;7;16;1;112;11;1;0;0;1;1;0;0
11;7;16;2;112;11;0;1;1;0;0;1;0
13;7;16;3;112;11;1;0;0;1;0;1;0
0;7;16;4;112;0;0;0;0;0;0;0;1
12;8;1;1;113;30;0;1;1;0;0;1;0
9;8;1;2;113;11;1;0;1;0;0;1;0
16;8;1;3;113;30;0;1;0;1;0;1;0
0;8;1;4;113;0;0;0;0;0;0;0;1
2;8;2;1;114;30;1;0;1;0;1;0;0
1;8;2;2;114;11;1;0;1;0;1;0;0
15;8;2;3;114;11;0;1;0;1;0;1;0
0;8;2;4;114;0;0;0;0;0;0;0;1
13;8;3;1;115;11;1;0;0;1;0;1;0
10;8;3;2;115;30;1;0;1;0;0;1;0
7;8;3;3;115;11;0;1;0;1;1;0;0
0;8;3;4;115;0;0;0;0;0;0;0;1
8;8;4;1;116;30;0;1;0;1;1;0;0
4;8;4;2;116;30;0;1;1;0;1;0;0
10;8;4;3;116;30;1;0;1;0;0;1;0
0;8;4;4;116;0;0;0;0;0;0;0;1
11;8;5;1;117;11;0;1;1;0;0;1;0
12;8;5;2;117;30;0;1;1;0;0;1;0
5;8;5;3;117;11;1;0;0;1;1;0;0
0;8;5;4;117;0;0;0;0;0;0;0;1
7;8;6;1;118;11;0;1;0;1;1;0;0
16;8;6;2;118;30;0;1;0;1;0;1;0
8;8;6;3;118;30;0;1;0;1;1;0;0
0;8;6;4;118;0;0;0;0;0;0;0;1
4;8;7;1;119;30;0;1;1;0;1;0;0
3;8;7;2;119;11;0;1;1;0;1;0;0
14;8;7;3;119;30;1;0;0;1;0;1;0
0;8;7;4;119;0;0;0;0;0;0;0;1
16;8;8;1;120;30;0;1;0;1;0;1;0
2;8;8;2;120;30;1;0;1;0;1;0;0
9;8;8;3;120;11;1;0;1;0;0;1;0
0;8;8;4;120;0;0;0;0;0;0;0;1
6;8;9;1;121;30;1;0;0;1;1;0;0
7;8;9;2;121;11;0;1;0;1;1;0;0
2;8;9;3;121;30;1;0;1;0;1;0;0
0;8;9;4;121;0;0;0;0;0;0;0;1
9;8;10;1;122;11;1;0;1;0;0;1;0
6;8;10;2;122;30;1;0;0;1;1;0;0
12;8;10;3;122;30;0;1;1;0;0;1;0
0;8;10;4;122;0;0;0;0;0;0;0;1
10;8;11;1;123;30;1;0;1;0;0;1;0
14;8;11;2;123;30;1;0;0;1;0;1;0
6;8;11;3;123;30;1;0;0;1;1;0;0
0;8;11;4;123;0;0;0;0;0;0;0;1
